Tiempo_ms,Periodo_ms,Frecuencia_Hz
3480.0,3480.0,0.287
4980.0,1500.0,0.667
6140.0,1160.0,0.862
7250.0,1110.0,0.901
8400.0,1150.0,0.870
9570.0,1170.0,0.855
10590.0,1020.0,0.980
11730.0,1140.0,0.877
12850.0,1120.0,0.893
13860.0,1010.0,0.990
14870.0,1010.0,0.990
15940.0,1070.0,0.935
17070.0,1130.0,0.885
18140.0,1070.0,0.935
19200.0,1060.0,0.943
20270.0,1070.0,0.935
21210.0,940.0,1.064
22560.0,1350.0,0.741
23550.0,990.0,1.010
24800.0,1250.0,0.800
26130.0,1330.0,0.752
27250.0,1120.0,0.893
28450.0,1200.0,0.833