Tiempo_ms,Periodo_ms,Frecuencia_Hz
1481576,6567.484,0.152
1483670,0.000,0.000
1483973,40.336,24.792
1485475,1488.204,0.672
1485773,32.800,30.488
1486973,28.708,34.833
1488174,27.252,36.695
1489074,26.788,37.330
1490274,26.888,37.191
1491175,1061.424,0.942
1491474,26.312,38.005
1492373,25.588,39.081
1493273,25.648,38.989
1494473,25.772,38.802
1495373,25.904,38.604
1496573,26.036,38.408
1497476,1033.768,0.967
1497774,26.236,38.116
1498674,26.504,37.730
1499874,26.604,37.588
1500774,26.796,37.319
1501973,27.292,36.641
1503173,27.848,35.909
1504073,27.196,36.770
1505273,26.776,37.347
1506473,26.384,37.902
1507674,26.568,37.639
1508874,26.700,37.453
1510074,26.924,37.142